"ID";"StationStart";"Line";"TimeStart";"StationEnd";"TimeEnd";"global_id";
"Локальный идентификатор";"Станция отправления";"Направление Аэроэкспресс";"Время отправления со станции";"Конечная станция направления Аэроэкспресс";"Время прибытия на конечную станцию направления Аэроэкспресс";"global_id";
"1";"Киевский вокзал";"Во Внуково";"00:01";"Аэропорт Внуково";"00:34";"2449491972";
"3";"Киевский вокзал";"Во Внуково";"08:00";"Аэропорт Внуково";"08:33";"2449491974";
"4";"Киевский вокзал";"Во Внуково";"09:00";"Аэропорт Внуково";"09:33";"2449491975";
"5";"Киевский вокзал";"Во Внуково";"10:00";"Аэропорт Внуково";"10:33";"2449491976";
"6";"Киевский вокзал";"Во Внуково";"11:00";"Аэропорт Внуково";"11:33";"2449491977";
"7";"Киевский вокзал";"Во Внуково";"12:00";"Аэропорт Внуково";"12:33";"2449491978";
"2";"Киевский вокзал";"Во Внуково";"07:00";"Аэропорт Внуково";"07:33";"2449492014";
"8";"Киевский вокзал";"Во Внуково";"13:00";"Аэропорт Внуково";"13:33";"2449492023";
"74";"Павелецкий вокзал";"В Домодедово";"06:00";"Аэропорт Домодедово";"06:47";"2449492102";
"75";"Павелецкий вокзал";"В Домодедово";"06:30";"Аэропорт Домодедово";"07:18";"2449492104";
"78";"Павелецкий вокзал";"В Домодедово";"08:00";"Аэропорт Домодедово";"08:48";"2449492111";
"81";"Павелецкий вокзал";"В Домодедово";"09:30";"Аэропорт Домодедово";"10:18";"2449492117";
"82";"Павелецкий вокзал";"В Домодедово";"10:00";"Аэропорт Домодедово";"10:48";"2449492119";
"83";"Павелецкий вокзал";"В Домодедово";"10:30";"Аэропорт Домодедово";"11:18";"2449492122";
"84";"Павелецкий вокзал";"В Домодедово";"11:00";"Аэропорт Домодедово";"11:48";"2449492124";
"86";"Павелецкий вокзал";"В Домодедово";"12:00";"Аэропорт Домодедово";"12:47";"2449492129";
"87";"Павелецкий вокзал";"В Домодедово";"12:30";"Аэропорт Домодедово";"13:17";"2449492131";
"73";"Павелецкий вокзал";"В Домодедово";"05:30";"Аэропорт Домодедово";"06:17";"2449492134";
"89";"Павелецкий вокзал";"В Домодедово";"13:30";"Аэропорт Домодедово";"14:17";"2449492135";
"76";"Павелецкий вокзал";"В Домодедово";"07:00";"Аэропорт Домодедово";"07:47";"2449492139";
"91";"Павелецкий вокзал";"В Домодедово";"14:30";"Аэропорт Домодедово";"15:18";"2449492140";
"77";"Павелецкий вокзал";"В Домодедово";"07:30";"Аэропорт Домодедово";"08:17";"2449492141";
"79";"Павелецкий вокзал";"В Домодедово";"08:30";"Аэропорт Домодедово";"09:18";"2449492144";
"93";"Павелецкий вокзал";"В Домодедово";"15:30";"Аэропорт Домодедово";"16:18";"2449492145";
"80";"Павелецкий вокзал";"В Домодедово";"09:00";"Аэропорт Домодедово";"09:48";"2449492146";
"94";"Павелецкий вокзал";"В Домодедово";"16:00";"Аэропорт Домодедово";"16:46";"2449492147";
"96";"Павелецкий вокзал";"В Домодедово";"17:00";"Аэропорт Домодедово";"17:48";"2449492152";
"85";"Павелецкий вокзал";"В Домодедово";"11:30";"Аэропорт Домодедово";"12:17";"2449492154";
"97";"Павелецкий вокзал";"В Домодедово";"17:30";"Аэропорт Домодедово";"18:16";"2449492155";
"88";"Павелецкий вокзал";"В Домодедово";"13:00";"Аэропорт Домодедово";"13:47";"2449492159";
"90";"Павелецкий вокзал";"В Домодедово";"14:00";"Аэропорт Домодедово";"14:47";"2449492162";
"101";"Павелецкий вокзал";"В Домодедово";"19:30";"Аэропорт Домодедово";"20:18";"2449492165";
"92";"Павелецкий вокзал";"В Домодедово";"15:00";"Аэропорт Домодедово";"15:48";"2449492166";
"95";"Павелецкий вокзал";"В Домодедово";"16:30";"Аэропорт Домодедово";"17:18";"2449492172";
"105";"Павелецкий вокзал";"В Домодедово";"21:30";"Аэропорт Домодедово";"22:15";"2449492176";
"98";"Павелецкий вокзал";"В Домодедово";"18:00";"Аэропорт Домодедово";"18:47";"2449492177";
"99";"Павелецкий вокзал";"В Домодедово";"18:30";"Аэропорт Домодедово";"19:17";"2449492179";
"100";"Павелецкий вокзал";"В Домодедово";"19:00";"Аэропорт Домодедово";"19:46";"2449492180";
"108";"Павелецкий вокзал";"В Домодедово";"23:00";"Аэропорт Домодедово";"23:48";"2449492183";
"102";"Павелецкий вокзал";"В Домодедово";"20:00";"Аэропорт Домодедово";"20:47";"2449492184";
"103";"Павелецкий вокзал";"В Домодедово";"20:30";"Аэропорт Домодедово";"21:15";"2449492185";
"109";"Павелецкий вокзал";"В Домодедово";"23:30";"Аэропорт Домодедово";"00:16";"2449492186";
"104";"Павелецкий вокзал";"В Домодедово";"21:00";"Аэропорт Домодедово";"21:48";"2449492187";
"110";"Верхние Котлы";"В Домодедово";"05:38";"Аэропорт Домодедово";"06:17";"2449492188";
"106";"Павелецкий вокзал";"В Домодедово";"22:00";"Аэропорт Домодедово";"22:46";"2449492191";
"112";"Верхние Котлы";"В Домодедово";"06:38";"Аэропорт Домодедово";"07:18";"2449492192";
"107";"Павелецкий вокзал";"В Домодедово";"22:30";"Аэропорт Домодедово";"23:16";"2449492193";
"113";"Верхние Котлы";"В Домодедово";"07:08";"Аэропорт Домодедово";"07:47";"2449492194";
"114";"Верхние Котлы";"В Домодедово";"07:38";"Аэропорт Домодедово";"08:17";"2449492197";
"115";"Верхние Котлы";"В Домодедово";"08:08";"Аэропорт Домодедово";"08:48";"2449492199";
"116";"Верхние Котлы";"В Домодедово";"08:39";"Аэропорт Домодедово";"09:18";"2449492201";
"111";"Верхние Котлы";"В Домодедово";"06:08";"Аэропорт Домодедово";"06:47";"2449492202";
"117";"Верхние Котлы";"В Домодедово";"09:08";"Аэропорт Домодедово";"09:48";"2449492212";
"118";"Верхние Котлы";"В Домодедово";"09:38";"Аэропорт Домодедово";"10:18";"2449492214";
