"ID";"NominationYear";"Name";"Author";"PubYear";"AgeLimit";"PublishingHouse";"LitPrizeName";"Nomination";"global_id";
"Êîä";"Ãîä íîìèíèðîâàíèÿ";"Íàèìåíîâàíèå";"Àâòîð";"Ãîä èçäàíèÿ";"Âîçðàñòíîå îãðàíè÷åíèå";"Èçäàòåëüñòâî";"Íàèìåíîâàíèå ëèòåðàòóðíîé ïðåìèè";"Íîìèíàöèÿ";"global_id";
"1";"2017";"F20";"Àííà Þðüåâíà Êîçëîâà";"2016";"18+";"Ðèïîë Êëàññèê";"Íàöèîíàëüíûé áåñòñåëëåð";"Ëó÷øèé ðîìàí, íàïèñàííûé íà ðóññêîì ÿçûêå â òå÷åíèå êàëåíäàðíîãî ãîäà";"881369459";
"2";"2017";"Ïàòðèîò";"Àíäðåé Âèêòîðîâè÷ Ðóáàíîâ";"2017";"18+";"ÀÑÒ";"ßñíàÿ ïîëÿíà";"Ñîâðåìåííàÿ ðóññêàÿ ïðîçà";"881369518";
"3";"2016";"È ñ òåõ ïîð íå ðàññòàâàëèñü. Èñòîðèè ñòðàøíûå, òðîãàòåëüíûå è ñòðàøíî òðîãàòåëüíûå";"Ëåÿ Äàâèäîâíà Ëþáîìèðñêàÿ";"2016";"16+";"ÀÑÒ";"Ðóññêàÿ ïðåìèÿ";"Ìàëàÿ ïðîçà 2 ìåñòî";"881369546";
"4";"2016";"Îòêðûòûé ôèíàë";"Àíäðåé Âàëåíòèíîâè÷ Æâàëåâñêèé Åâãåíèÿ Áîðèñîâíà Ïàñòåðíàê";"2016";"12+";"Âðåìÿ";"Ðóññêàÿ ïðåìèÿ";"Ìàëàÿ ïðîçà 3 ìåñòî";"881369570";
"5";"2016";"Òàéíûé ãîä";"Ìèõàèë Ãåîðãèåâè÷ Ãèãîëàøâèëè";"2017";"18+";"ÀÑÒ";"Ðóññêàÿ ïðåìèÿ";"Êðóïíàÿ ïðîçà 1 ìåñòî";"881369580";
"6";"2017";"Ëåíèí. Ïàíòîêðàòîð ñîëíå÷íûõ ïûëèíîê";"Ëåâ Àëåêñàíäðîâè÷ Äàíèëêèí";"2017";"18+";"Ìîëîäàÿ ãâàðäèÿ";"Áîëüøàÿ êíèãà";"1 ìåñòî";"881369583";
"7";"2017";"Íåèçâåñòíîñòü";"Àåêñåé Èâàíîâè÷ Ñëàïîâñêèé";"2017";"18+";"ÀÑÒ";"Áîëüøàÿ êíèãà";"Øîðò-ëèñò";"881369589";
"8";"2017";"Ãîðîä Áðåæíåâ";"Øàìèëü Èäèàòóëëèí";"2017";"18+";"Àçáóêà";"Áîëüøàÿ êíèãà";"3 ìåñòî";"881369628";
"9";"2017";"Êàòàåâ: «Ïîãîíÿ çà âå÷íîé âåñíîé»";"Ñåðãåé Àëåêñàíäðîâè÷ Øàðãóíîâ";"2016";"18+";"Ìîëîäàÿ ãâàðäèÿ";"Áîëüøàÿ êíèãà";"2 ìåñòî";"881369634";
