"ID";"LibraryName";"AdmArea";"District";"Address";"NumberOfAccessPoints";"WiFiName";"CoverageArea";"FunctionFlag";"AccessFlag";"Password";"Latitude_WGS84";"Longitude_WGS84";"global_id";"geodata_center";"geoarea";
"Код";"Наименование библиотеки";"Административный округ";"Район";"Адрес";"Количество точек доступа";"Имя Wi-Fi сети";"Зона покрытия, в метрах";"Признак функционирования";"Условия доступа";"Пароль";"Широта в WGS-84";"Долгота в WGS-84";"global_id";"geodata_center";"geoarea";
"11";"ГБУК города Москвы «ОКЦ ВАО» Центральная библиотека №70 имени Михаила Александровича Шолохова";"Восточный административный округ";"район Преображенское";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Преображенское, Большая Черкизовская улица, дом 18/1";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.797918";"37.730401";"878954843";"";"";
"19";"ГБУК города Москвы «ОКЦ ЮВАО» Библиотека №130";"Юго-Восточный административный округ";"район Люблино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Люблино, Краснодарская улица, дом 20/1";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.677209";"37.750469";"880036039";"";"";
"44";"ГБУК города Москвы «ОКЦ ЮЗАО» Библиотека №168";"Юго-Западный административный округ";"район Зюзино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Зюзино, Херсонская улица, дом 1";"8";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.649632";"37.576834";"880036040";"";"";
"45";"ГБУК города Москвы «ОКЦ СЗАО» Центральная детская библиотека №226";"Северо-Западный административный округ";"район Северное Тушино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Тушино, Химкинский бульвар, дом 16, корпус 1";"9";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.851965";"37.443030";"880036042";"";"";
"20";"ГБУК города Москвы «ОКЦ ЗАО» Детская библиотека №206 имени Ивана Егоровича Забелина";"Западный административный округ";"район Фили-Давыдково";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Фили-Давыдково, Кременчугская улица, дом 6, корпус 1";"9";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.723795";"37.460241";"880036043";"";"";
"46";"ГБУК города Москвы «ОКЦ ЦАО» Библиотека №19 имени Достоевского";"Центральный административный округ";"Басманный район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Чистопрудный бульвар, дом 23, строение 1";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.760276";"37.646804";"880036044";"";"";
"21";"ГБУК города Москвы «ОКЦ ЦАО» Библиотека №18 имени Василия Андреевича Жуковского";"Центральный административный округ";"Басманный район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Лялин переулок, дом 24-26, строение 2";"8";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.756812";"37.653164";"880036045";"";"";
"47";"ГБУК города Москвы «ОКЦ ЮАО» Библиотека №148 имени Федора Ивановича Тютчева";"Южный административный округ";"Нагорный район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагорный, Чонгарский бульвар, дом 10, корпус 2";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.654157";"37.613512";"880036047";"";"";
"22";"ГБУК города Москвы «ОКЦ САО» Центральная детская библиотека №46 имени Ивана Захаровича Сурикова";"Северный административный округ";"район Коптево";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Коптево, Михалковская улица, дом 15";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.839537";"37.526304";"880036048";"";"";
"48";"ГБУК города Москвы «ОКЦ ЮВАО» Библиотека №132";"Юго-Восточный административный округ";"район Печатники";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Печатники, Шоссейная улица, дом 50";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.679377";"37.721858";"880036049";"";"";
"49";"ГБУК города Москвы «ОКЦ ЮАО» Детская библиотека №156";"Южный административный округ";"район Орехово-Борисово Северное";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Орехово-Борисово Северное, Домодедовская улица, дом 1, корпус 1";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.616209";"37.706452";"880036051";"";"";
"24";"ГБУК города Москвы «ОКЦ ЦАО» Библиотека №5 имени Максимилиана Александровича Волошина";"Центральный административный округ";"район Хамовники";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, Новодевичий проезд, дом 10";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.729873";"37.557520";"880036052";"";"";
"50";"ГБУК города Москвы «ОКЦ ЮАО» Библиотека №157";"Южный административный округ";"район Чертаново Южное";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, улица Газопровод, дом 9, корпус 2";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.589982";"37.607341";"880036054";"";"";
"25";"ГБУК города Москвы «ОКЦ САО» Библиотека №44 имени Владимира Галактионовича Короленко";"Северный административный округ";"Головинский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Головинский, Онежская улица, дом 17, корпус 4";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.851298";"37.517231";"880036055";"";"";
"51";"ГБУК города Москвы «ОКЦ ЮАО» Библиотека №165";"Южный административный округ";"район Нагатинский Затон";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатинский Затон, проспект Андропова, дом 17, корпус 1";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.682676";"37.667070";"880036056";"";"";
"26";"ГБУК города Москвы «ОКЦ ЮАО» Библиотека №144";"Южный административный округ";"район Зябликово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Зябликово, Ореховый бульвар, дом 37, корпус 2А";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.615273";"37.737785";"880036057";"";"";
"27";"ГБУК города Москвы «ОКЦ СЗАО» Библиотека №230";"Северо-Западный административный округ";"район Южное Тушино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Тушино, Парусный проезд, дом 15";"10";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.846310";"37.446848";"880036058";"";"";
"52";"ГБУК города Москвы «ОКЦ ВАО» Детская библиотека №71";"Восточный административный округ";"район Гольяново";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Байкальская улица, дом 46, корпус 1";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.816960";"37.819343";"880036059";"";"";
"28";"ГБУК города Москвы «Центральная городская детская библиотека имени Аркадия Петровича Гайдара»";"Центральный административный округ";"район Хамовники";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, Ростовская набережная, дом 5";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.742189";"37.574992";"880036060";"";"";
"53";"ГБУК города Москвы «ОКЦ ВАО» Библиотека №97";"Восточный административный округ";"район Новокосино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Новокосино, Новокосинская улица, дом 15, корпус 3";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.737902";"37.853811";"880036061";"";"";
"54";"ГБУК города Москвы «ОКЦ ЗАО» Библиотека №204 Центр культурного наследия Николая Степановича Гумилева";"Западный административный округ";"район Фили-Давыдково";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Фили-Давыдково, Кременчугская улица, дом 22";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.718010";"37.461337";"880036062";"";"";
"29";"ГБУК города Москвы «Библиотека читальня имени Пушкина»";"Центральный административный округ";"Басманный район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Спартаковская улица, дом 9, строение 3";"9";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.772036";"37.671956";"880036063";"";"";
"30";"ГБУК города Москвы «Библиотека искусств имени Алексея Петровича Боголюбова»";"Центральный административный округ";"Тверской район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Сущёвская улица, дом 14";"21";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.781362";"37.602436";"880036064";"";"";
"31";"ГБУК города Москвы «ОКЦ ЦАО» Библиотека №12 имени Ивана Алексеевича Бунина";"Центральный административный округ";"Пресненский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, улица 1905 Года, дом 3";"9";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.758316";"37.557843";"880036066";"";"";
"75";"ГБУК города Москвы «ОКЦ ЮАО» Библиотека №137";"Южный административный округ";"район Бирюлёво Восточное";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бирюлево Восточное, Липецкая улица, дом 10, корпус 1";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.598421";"37.670492";"880036067";"";"";
"32";"ГБУК города Москвы «ОКЦ ЗАО» Библиотека №199 имени Эдуарда Георгиевича Багрицкого";"Западный административный округ";"Можайский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Можайский, улица Багрицкого, дом 51";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.719445";"37.437748";"880036068";"";"";
"76";"ГБУК города Москвы «ОКЦ ЮАО» Библиотека №138";"Южный административный округ";"район Бирюлёво Восточное";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бирюлево Восточное, Касимовская улица, дом 21";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.595459";"37.657236";"880036069";"";"";
"33";"ГБУК города Москвы «ОКЦ ЮЗАО» Библиотека №179";"Юго-Западный административный округ";"Ломоносовский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ломоносовский, улица Вавилова, дом 86";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.676940";"37.541090";"880036070";"";"";
"77";"ГБУК города Москвы «ОКЦ ЮАО» Библиотека №139";"Южный административный округ";"район Царицыно";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Царицыно, Каспийская улица, дом 20, корпус 2";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.626117";"37.675311";"880036071";"";"";
"34";"ГБУК города Москвы «ОКЦ ЗАО» Библиотека №212 имени Тараса Григорьевича Шевченко";"Западный административный округ";"район Дорогомилово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, улица Генерала Ермолова, дом 6";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.737557";"37.516368";"880036072";"";"";
"78";"ГБУК города Москвы «ОКЦ ЮАО» Библиотека №140";"Южный административный округ";"район Бирюлёво Восточное";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бирюлево Восточное, Липецкая улица, дом 54/21, строение 2";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.578432";"37.683158";"880036073";"";"";
"35";"ГБУК города Москвы «ОКЦ ЮЗАО» Библиотека №191";"Юго-Западный административный округ";"район Черёмушки";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Черемушки, улица Обручева, дом 51";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.651374";"37.559290";"880036074";"";"";
"79";"ГБУК города Москвы «ОКЦ ЮАО» Библиотека №147";"Южный административный округ";"район Орехово-Борисово Южное";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Орехово-Борисово Южное, Домодедовская улица, дом 44";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.601188";"37.714882";"880036076";"";"";
"36";"ГБУК города Москвы «ОКЦ ЮВАО» Библиотека №129";"Юго-Восточный административный округ";"район Марьино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьино, улица Перерва, дом 56/2";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.657845";"37.747729";"880036077";"";"";
"80";"ГБУК города Москвы «ОКЦ ЮАО» Библиотека №150";"Южный административный округ";"район Братеево";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Братеево, Ключевая улица, дом 10, корпус 2";"17";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.635515";"37.757292";"880036078";"";"";
"37";"ГБУК города Москвы «ОКЦ ЮЗАО» Библиотека №175";"Юго-Западный административный округ";"район Котловка";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Котловка, улица Ремизова, дом 10";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.676220";"37.600657";"880036079";"";"";
"81";"ГБУК города Москвы «ОКЦ ЮАО» Центральная детская библиотека №152";"Южный административный округ";"район Орехово-Борисово Южное";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Орехово-Борисово Южное, Воронежская улица, дом 10";"10";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.608897";"37.726502";"880036080";"";"";
"82";"ГБУК города Москвы «ОКЦ ЮАО» Детская библиотека №153";"Южный административный округ";"район Зябликово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Зябликово, Задонский проезд, дом 24, корпус 3";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.621648";"37.753658";"880036082";"";"";
