ROWNUM;name;adress;okrug;rayon;form_of_incorporation;submission;tip_uchrezhdeniya;vid_uchrezhdeniya;telephone;web_site;e_mail;X;Y;global_id;
1;"Негосударственное образовательное учреждение средняя общеобразовательная школа ""Гармония""";"124498 Москва, Зеленоград, корпус 421 ""А""";"Зеленоградский административный округ";"район Матушкино";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 734-27-59";"";"shkolagarmonia@mail.ru";"37,205531";"55,997156";"86660639";
2;"Некоммерческое партнерство Международная школа ""Глобус"" (НП МШ ""Глобус"")";"г. Москва, г. Зеленоград, корп. 430А";"Зеленоградский административный округ";"район Матушкино";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 735-03-85";"";"sch-globus@mail.ru";"37,20909";"55,994797";"86660641";
3;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 12";"119136 г.Москва, 2-й Сетуньский проезд, д. 9";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 795-51-94";"sch12.mskzapad.ru";"school12ramenki@list.ru";"37,53295";"55,730826";"86660643";
4;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 14";"119602, г. Москва, ул. Академика Анохина, д. 32";"Западный административный округ";"район Тропарёво-Никулино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"430-31-01";"sch14.mskzapad.ru";"sch14@list.ru";"37,465808";"55,662225";"86660644";
5;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 37";"119192, г. Москва, ул. Столетова, д. 3";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 739-35-28";"http://sch37.mskzapad.ru";"sch37@list.ru";"37,504038";"55,703325";"86660645";
6;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 38";"119192 г.Москва, Мичуринский проспект, д. 42";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"931-54-00";"sch38.mskzapad.ru";"sch_38@inbox.ru";"37,49003";"55,696974";"86660646";
7;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 41";"119027 г.Москва, ул Большая Внуковская, д. 4";"Западный административный округ";"район Внуково";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"436-24-50";"ds2569.mskzapad.ru";"shk4155@yandex.ru";"37,294653";"55,614268";"86660647";
8;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 56 имени академика В.А. Легасова";"121151 г.Москва, Кутузовский проспект, д. 22 А";"Западный административный округ";"район Дорогомилово";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 243-63-10";"sch56.mskzapad.ru";"sch56@inbox.ru";"37,549365";"55,746667";"86660648";
9;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 61";"121471 г. Москва, ул. Рябиновая, д.8, корп.2";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"443-32-14";"sch61.mskzapad.ru/";"sch61@bk.ru";"37,419794";"55,71726";"86660649";
10;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 63";"121609 г. Москва, ул. Крылатские холмы, д.23";"Западный административный округ";"район Крылатское";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"413-06-15";"sch63.mskzapad.ru";"sch63s@yandex.ru";"37,412784";"55,756143";"86660650";
