ROWNUM;CommonName;FullName;ShortName;AdmArea;District;Address;ChiefName;ChiefPosition;PublicPhone;Fax;Email;WorkingHours;ClarificationOfWorkingHours;WebSite;OKPO;INN;MainHallCapacity;AdditionalHallCapacity;X_WGS;Y_WGS;GLOBALID;
1;"Уголок дедушки Дурова";"Государственное бюджетное учреждение культуры города Москвы «Театр «Уголок дедушки Дурова»";"ГБУК г. Москвы «Театр «Уголок дедушки Дурова»";"Центральный административный округ";"Мещанский район";"улица Дурова, дом 4";"Дуров Юрий Юрьевич";"директор";"(495) 681-98-12; (495) 631-27-85";"(495) 631-27-85";"secr@uddmos.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"ugolokdurova.ru";"2182867";"7702061293";"300";"148";"37.621182";"55.779388";"87036489";
2;"Театрально-культурный центр Славы Полунина";"Государственное бюджетное учреждение культуры города Москвы «Международный театрально-культурный центр Славы Полунина»";"ГБУК г. Москвы «МТКЦ Славы Полунина»";"Центральный административный округ";"Пресненский район";"Леонтьевский переулок, дом 21/1";"Стрекалов Дмитрий Ардальонович";"директор";"(495) 609-00-21; (495) 768-21-26; (495) 694-38-68";"(495) 694-38-68";"nskom@sias.ru; 130758@mail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"";"58711131";"7703351189";"";"";"37.605902";"55.761256";"87036490";
3;"Театр «Содружество актеров Таганки»";"Государственное бюджетное учреждение культуры города Москвы «Театр «Содружество актеров Таганки»";"ГБУК г. Москвы «Театр «Содружество актеров Таганки»";"Центральный административный округ";"Таганский район";"улица Земляной Вал, дом 76/21, строение 1";"Альшевская Наталья Николаевна";"директор";"(495) 915-11-55; (495) 915-11-28; (495) 915-12-12";"(495) 915-11-28";"info@taganka-sat.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"taganka-sat.ru";"27994537";"7709811763";"725";"67";"37.653913";"55.743253";"87036492";
4;"Театр музыки и поэзии под руководством Камбуровой";"Государственное бюджетное учреждение культуры города Москвы «Театр музыки и поэзии под руководством Е. Камбуровой»";"ГБУК г. Москвы «Театр музыки и поэзии п/р Е. Камбуровой»";"Центральный административный округ";"Мещанский район";"Большая Пироговская улица, дом 53/55";"Камбурова Елена Антоновна";"директор";"(499) 246-81-75; (499) 246-82-06; (499) 246-80-06";"(499) 246-81-75";"ad-kamburova@theatre.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"kamburova.theatre.ru";"51148919";"7702078561";"60";"50";"37.561544";"55.72693";"87036493";
5;"Театр имени Рубена Симонова";"Государственное бюджетное учреждение культуры города Москвы «Московский драматический театр имени Рубена Симонова»";"ГБУК г. Москвы «МДТ им. Рубена Симонова»";"Центральный административный округ";"район Арбат";"Калошин переулок, дом10, строение 2";"Долгоруков Юрий Владимирович";"директор";"(499) 248-26-80; (499) 248-20-61";"(499) 248-20-61";"mdtrubensimonov@yandex.ru; buhsim@mail.ru; trsgi@yandex.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"teatr-simonova.ru";"43265619";"7704106920";"142";"";"37.592821";"55.749058";"87036494";
6;"Театр «Варьете»";"Государственное бюджетное учреждение культуры города Москвы «Московский театр «Варьете»";"ГБУК г. Москвы «Московский театр «Варьете»";"Центральный административный округ";"Мещанский район";"проспект Мира, дом 76, строение 2";"Черенков Александр Николаевич";"директор";"(495) 681-63-57";"(495) 681-63-57";"variete@list.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"theatre-variete.com";"45191546";"7708094760";"";"";"37.635474";"55.791044";"87036495";
7;"Мюзик-холл";"Государственное бюджетное учреждение культуры города Москвы «Московский мюзик-холл»";"ГБУК г. Москвы «Московский мюзик-холл»";"Центральный административный округ";"Красносельский район";"Каланчёвская улица, дом 33/12, строение 2";"Равинский Платон Геннадьевич";"директор";"(495) 680-48-66; (495) 680-48-55";"(495) 680-48-65";"ravinski@mail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"music-hall.ru";"18144372";"7710034141";"540";"";"37.648809";"55.776088";"87036496";
8;"Театр Эстрады";"Государственное бюджетное учреждение культуры города Москвы «Московский государственный театр «Эстрады»";"ГБУК г. Москвы «Московский государственный театр «Эстрады»";"Центральный административный округ";"район Якиманка";"Берсеневская набережная, дом 20/2";"Хазанов Геннадий Викторович";"директор";"(495) 959-05-93; (495) 959-03-66; (495) 959-03-55; (495) 959-03-41; (495) 959-09-37";"(495) 959-09-37";"estrada2012buh@yandex.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"teatr.teatr-estrada.ru";"2190163";"7706089941";"1312";"";"37.61034";"55.744338";"87036497";
9;"Театр фольклора «Русская песня»";"Государственное бюджетное учреждение культуры города Москвы «Московский государственный музыкальный театр фольклора «Русская песня»";"ГБУК г. Москвы «МГМТФ «Русская песня»";"Центральный административный округ";"Басманный район";"Садовая-Черногрязская улица, дом 5/9, строение 2";"Бабкина Надежда Георгиевна";"директор";"(499) 975-36-89; (499) 975-54-09; (499) 975-68-89";"(495) 964-46-43; (499) 975-68-89";"teatr-ruspesnia@mail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"babkina.ru";"5216288";"7714039052";"150";"";"37.653893";"55.766817";"87036498";
10;"Театр имени Маяковского";"Государственное бюджетное учреждение культуры города Москвы «Московский академический театр имени Вл. Маяковского»";"ГБУК г. Москвы «Московский академический театр им. Вл. Маяковского»";"Центральный административный округ";"Пресненский район";"Большая Никитская улица, дом 19/13";"Ошарин Леонид Вячеславович";"директор";"(495) 690-33-82; (495) 690-27-25; (495) 690-53-71";"(495) 690-27-25";"teatr@maykovsky.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"mayakovsky.ru";"2190186";"7703025812";"887";"508";"37.774397";"55.800584";"87036499";
11;"Театр на Покровке";"Государственное бюджетное учреждение культуры города Москвы «Театр на Покровке»";"ГБУК г. Москвы «Театр на Покровке»";"Центральный административный округ";"Басманный район";"улица Покровка, дом 50/2, строение 1";"Пепеляева Ольга Юрьевна";"директор";"(499) 261-95-15; (499) 261-07-54";"(499) 267-90-03";"contact@napokrovke.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"napokrovke.ru";"2190453";"7701045549";"68";"";"37.655462";"55.763573";"87036500";
12;"Театр «Эрмитаж»";"Государственное бюджетное учреждение культуры города Москвы «Московский театр «Эрмитаж»";"ГБУК г. Москвы «Московский театр «Эрмитаж»";"Центральный административный округ";"Тверской район";"улица Каретный ряд, дом 3, строение 1";"Левитин Михаил Захарович";"директор";"(495) 650-22-58";"(495) 650-22-58";"6502258@inbox.ru; yrmitag@yandex.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"ermitazh.theatre.ru";"2189993";"7707085202";"295";"84";"37.6093";"55.770787";"87036501";
13;"Дирекция проекта «Открытая сцена»";"Государственное бюджетное учреждение культуры города Москвы «Дирекция проекта «Открытая сцена»";"ГБУК г. Москвы «Дирекция проекта «Открытая сцена»";"Центральный административный округ";"район Арбат";"Поварская улица, дом 20";"Порватов Андрей Евгеньевич";"директор";"(495) 691-44-43; (495) 697-31-74; (495) 691-41-15";"(495) 697-31-74; (495) 691-41-15";"info@o-stage.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"o-stage.ru";"97291139";"7704617699";"66";"48";"37.595298";"55.754526";"87036502";
14;"Театр имени Ермоловой";"Государственное бюджетное учреждение культуры города Москвы «Московский драматический театр имени М. Н. Ермоловой»";"ГБУК г. Москвы «МДТ им. М. Н. Ермоловой»";"Центральный административный округ";"Тверской район";"Тверская улица, дом 5/6";"Гурвич Марк Абрамович";"директор";"(495) 629-06-79";"(495) 629-06-79";"info-ermolova@mail.ru; ruteatr_ermolovoj@mail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"ermolova.theatre.ru";"2190080";"7710143327";"673";"77";"37.612075";"55.757684";"87036503";
